element_id,element_type,floor,length_m,width_m,height_m,quantity_elements,material_type,unit_cost_per_sqm,wastage_percent,planned_start_week,planned_end_week,formwork_area_per_element_sqm,total_formwork_area_sqm
162,Wall,17,4.5,0.2,3.0,17,Plywood,524,11,16,18,28.2,532.134
163,Column,11,0.3,0.45,3.3,38,Steel,930,9,10,14,4.95,205.029
164,Beam,11,0.23,0.6,5.5,13,Steel,945,11,11,15,9.13,131.746
165,Beam,11,0.3,0.6,4.0,19,Steel,926,10,11,15,7.2,150.48
166,Slab,21,6.0,4.0,0.15,1,Plywood,461,13,22,24,3.0,3.39
167,Beam,9,0.23,0.45,5.0,27,Steel,947,10,9,11,6.8,201.96
168,Slab,5,6.0,4.0,0.15,1,Plywood,454,15,5,8,3.0,3.45
169,Column,9,0.3,0.45,3.2,19,Steel,931,10,10,13,4.8,100.32
170,Column,1,0.35,0.55,2.8,23,Steel,934,8,2,4,5.04,125.194
171,Slab,3,7.5,4.0,0.15,1,Plywood,492,14,3,6,3.45,3.933
172,Beam,3,0.23,0.45,5.5,12,Steel,974,11,2,5,7.48,99.634
173,Slab,20,7.5,4.0,0.15,1,Plywood,427,16,20,24,3.45,4.002
174,Column,19,0.23,0.45,2.8,9,Steel,975,9,18,21,3.808,37.356
175,Column,18,0.23,0.45,2.8,26,Steel,994,8,18,20,3.808,106.929
176,Column,12,0.35,0.55,3.0,30,Steel,975,8,11,13,5.4,174.96
177,Column,18,0.35,0.55,3.3,20,Steel,985,11,18,20,5.94,131.868
178,Column,5,0.4,0.4,2.8,30,Steel,945,9,4,8,4.48,146.496
179,Beam,23,0.23,0.6,5.5,8,Steel,966,11,24,28,9.13,81.074
180,Beam,13,0.25,0.5,5.0,15,Steel,875,13,12,16,7.5,127.125
181,Slab,24,6.0,4.0,0.15,1,Plywood,487,14,25,29,3.0,3.42
182,Beam,4,0.25,0.5,5.0,22,Steel,953,12,5,7,7.5,184.8
183,Column,13,0.3,0.45,3.3,8,Steel,999,11,14,17,4.95,43.956
184,Slab,18,10.0,4.0,0.15,1,Plywood,522,14,18,22,4.2,4.788
185,Column,13,0.3,0.45,3.0,25,Steel,916,9,14,16,4.5,122.625
186,Wall,12,4.0,0.2,3.0,15,Plywood,555,12,13,17,25.2,423.36
187,Column,5,0.3,0.6,3.2,29,Steel,949,9,6,10,5.76,182.074
188,Beam,10,0.23,0.6,5.5,23,Steel,939,12,11,15,9.13,235.189
189,Wall,6,3.0,0.2,3.0,20,Plywood,530,10,6,8,19.2,422.4
190,Beam,8,0.23,0.6,4.0,28,Steel,934,10,9,11,6.64,204.512
191,Beam,18,0.23,0.45,6.0,28,Steel,920,11,17,20,8.16,253.613
192,Slab,16,6.0,4.0,0.15,1,Plywood,482,15,17,21,3.0,3.45
193,Column,16,0.23,0.45,2.8,26,Steel,913,10,16,18,3.808,108.909
194,Slab,10,7.5,4.0,0.15,1,Plywood,476,15,9,11,3.45,3.968
195,Wall,24,4.0,0.2,3.0,11,Plywood,490,11,23,26,25.2,307.692
196,Wall,3,5.0,0.2,3.0,7,Plywood,549,12,4,7,31.2,244.608
197,Beam,9,0.23,0.6,6.0,23,Steel,872,13,8,10,9.96,258.86
198,Column,3,0.4,0.4,3.2,18,Steel,979,11,4,7,5.12,102.298
199,Slab,9,6.0,5.0,0.15,1,Plywood,458,14,8,10,3.3,3.762
200,Beam,25,0.3,0.6,5.5,26,Steel,864,10,25,29,9.9,283.14
201,Column,10,0.23,0.45,3.2,38,Steel,999,9,10,14,4.352,180.26
202,Column,23,0.35,0.55,2.8,26,Steel,928,10,23,27,5.04,144.144
203,Column,13,0.3,0.6,3.2,33,Steel,998,11,12,15,5.76,210.989
204,Beam,18,0.3,0.6,5.5,14,Steel,908,12,19,21,9.9,155.232
205,Column,12,0.3,0.45,3.3,38,Steel,958,10,13,15,4.95,206.91
206,Column,7,0.4,0.4,3.2,23,Steel,964,10,8,10,5.12,129.536
207,Column,20,0.35,0.55,2.8,7,Steel,913,9,20,22,5.04,38.455
208,Wall,25,4.5,0.2,3.0,23,Plywood,582,9,24,27,28.2,706.974
209,Column,7,0.3,0.6,3.2,12,Steel,984,8,7,10,5.76,74.65
210,Column,20,0.23,0.45,3.2,25,Steel,965,8,19,22,4.352,117.504
211,Beam,7,0.3,0.6,4.0,21,Steel,885,13,8,10,7.2,170.856
212,Column,18,0.4,0.4,2.8,30,Steel,1035,10,17,20,4.48,147.84
213,Wall,20,5.0,0.2,3.0,17,Plywood,512,12,19,21,31.2,594.048
214,Wall,12,3.0,0.2,3.0,17,Plywood,468,10,13,17,19.2,359.04
215,Beam,19,0.3,0.6,5.5,14,Steel,853,11,19,21,9.9,153.846
216,Beam,7,0.25,0.5,5.5,29,Steel,875,10,6,10,8.25,263.175
217,Beam,2,0.25,0.5,5.0,28,Steel,917,10,3,7,7.5,231.0
218,Column,3,0.35,0.55,2.8,14,Steel,940,10,3,7,5.04,77.616
219,Column,12,0.4,0.4,3.0,11,Steel,961,10,11,14,4.8,58.08
220,Column,23,0.35,0.55,3.2,14,Steel,910,11,23,25,5.76,89.51
221,Column,4,0.4,0.4,2.8,11,Steel,958,8,4,6,4.48,53.222
222,Beam,12,0.23,0.6,6.0,10,Steel,902,11,13,15,9.96,110.556
223,Column,18,0.3,0.6,3.2,15,Steel,981,8,18,20,5.76,93.312
224,Column,6,0.4,0.4,3.0,32,Steel,931,10,7,11,4.8,168.96
225,Beam,19,0.23,0.6,4.5,19,Steel,920,12,18,20,7.47,158.962
226,Beam,8,0.23,0.6,4.0,15,Steel,911,13,8,11,6.64,112.548
227,Column,21,0.4,0.4,3.3,13,Steel,993,10,20,23,5.28,75.504
228,Column,15,0.23,0.45,3.0,10,Steel,935,9,15,18,4.08,44.472
229,Column,14,0.3,0.6,3.0,20,Steel,951,9,14,16,5.4,117.72
230,Column,5,0.3,0.6,3.3,10,Steel,950,8,6,8,5.94,64.152
231,Slab,12,7.5,4.0,0.15,1,Plywood,517,15,11,15,3.45,3.968
232,Wall,22,4.5,0.2,3.0,6,Plywood,484,9,21,25,28.2,184.428
233,Beam,1,0.25,0.5,5.5,26,Steel,864,13,2,5,8.25,242.385
234,Beam,19,0.23,0.45,4.5,20,Steel,815,10,19,21,6.12,134.64
235,Slab,13,6.0,5.0,0.15,1,Plywood,493,14,14,18,3.3,3.762
236,Beam,18,0.25,0.5,4.5,29,Steel,886,11,19,23,6.75,217.283
237,Column,17,0.35,0.55,2.8,27,Steel,933,9,16,20,5.04,148.327
238,Column,11,0.4,0.4,3.0,29,Steel,907,9,11,13,4.8,151.728
239,Beam,8,0.23,0.45,6.0,13,Steel,902,13,7,10,8.16,119.87
240,Beam,16,0.23,0.45,6.0,20,Steel,918,10,17,19,8.16,179.52
241,Column,4,0.23,0.45,2.8,11,Steel,916,9,4,7,3.808,45.658
242,Column,15,0.23,0.45,3.0,31,Steel,991,9,15,18,4.08,137.863
243,Column,3,0.4,0.4,2.8,19,Steel,967,8,2,4,4.48,91.93
244,Column,17,0.35,0.55,2.8,10,Steel,964,11,17,19,5.04,55.944
245,Beam,16,0.25,0.5,6.0,12,Steel,906,10,16,20,9.0,118.8
246,Slab,3,10.0,4.0,0.15,1,Plywood,518,16,4,8,4.2,4.872
247,Beam,19,0.23,0.45,5.5,15,Steel,899,12,18,21,7.48,125.664
248,Column,11,0.35,0.55,3.2,31,Steel,960,10,12,15,5.76,196.416
249,Column,20,0.23,0.45,3.0,27,Steel,875,9,21,25,4.08,120.074
250,Slab,2,10.0,4.0,0.15,1,Plywood,492,16,3,6,4.2,4.872
251,Beam,5,0.23,0.6,4.5,25,Steel,908,13,5,8,7.47,211.027
252,Column,13,0.23,0.45,3.0,26,Steel,987,10,14,16,4.08,116.688
253,Column,5,0.3,0.45,2.8,6,Steel,993,8,4,6,4.2,27.216
254,Slab,9,8.0,4.0,0.15,1,Plywood,492,15,8,11,3.6,4.14
255,Slab,17,6.0,5.0,0.15,1,Plywood,533,15,18,20,3.3,3.795
256,Wall,4,4.0,0.2,3.0,6,Plywood,513,9,3,5,25.2,164.808
257,Beam,17,0.23,0.45,5.0,20,Steel,1012,12,18,22,6.8,152.32
258,Beam,3,0.23,0.6,4.0,8,Steel,911,13,4,7,6.64,60.026
259,Beam,5,0.23,0.6,6.0,11,Steel,874,10,6,8,9.96,120.516
260,Column,15,0.3,0.6,3.2,11,Steel,1041,11,16,20,5.76,70.33
261,Slab,20,7.5,4.0,0.15,1,Plywood,471,14,19,21,3.45,3.933
262,Beam,5,0.23,0.45,4.0,17,Steel,880,12,6,8,5.44,103.578
263,Column,8,0.35,0.55,3.3,32,Steel,931,9,9,11,5.94,207.187
264,Wall,24,4.5,0.2,3.0,5,Plywood,484,11,23,27,28.2,156.51
265,Beam,25,0.3,0.6,6.0,18,Steel,905,13,24,28,10.8,219.672
266,Column,15,0.4,0.4,3.2,8,Steel,972,9,15,19,5.12,44.646
267,Column,12,0.3,0.6,2.8,29,Steel,936,9,13,15,5.04,159.314
268,Wall,9,4.0,0.2,3.0,11,Plywood,554,9,9,13,25.2,302.148
269,Wall,16,3.0,0.2,3.0,13,Plywood,530,11,15,17,19.2,277.056
270,Beam,15,0.23,0.6,5.5,11,Steel,891,12,15,19,9.13,112.482
271,Wall,8,3.0,0.2,3.0,8,Plywood,511,11,8,11,19.2,170.496
272,Wall,1,4.0,0.2,3.0,9,Plywood,561,11,1,5,25.2,251.748
273,Slab,4,7.5,4.0,0.15,1,Plywood,470,14,4,7,3.45,3.933
274,Wall,24,4.0,0.2,3.0,24,Plywood,523,10,25,28,25.2,665.28
275,Beam,11,0.23,0.6,6.0,29,Steel,931,11,12,15,9.96,320.612
276,Slab,13,6.0,5.0,0.15,1,Plywood,475,16,13,16,3.3,3.828
277,Beam,12,0.25,0.5,5.5,25,Steel,951,10,11,13,8.25,226.875
278,Slab,20,7.5,4.0,0.15,1,Plywood,494,16,19,22,3.45,4.002
279,Column,2,0.3,0.45,3.3,9,Steel,945,10,1,5,4.95,49.005
280,Slab,3,8.0,4.0,0.15,1,Plywood,464,12,3,5,3.6,4.032
281,Wall,7,3.0,0.2,3.0,13,Plywood,573,9,6,9,19.2,272.064
282,Column,13,0.3,0.6,3.2,6,Steel,900,10,12,14,5.76,38.016
283,Wall,17,4.5,0.2,3.0,11,Plywood,485,12,16,19,28.2,347.424
284,Beam,13,0.23,0.6,6.0,23,Steel,887,13,14,17,9.96,258.86
285,Column,12,0.35,0.55,3.0,33,Steel,921,10,11,14,5.4,196.02
286,Column,24,0.23,0.45,3.2,9,Steel,969,8,25,27,4.352,42.301
287,Slab,5,6.0,5.0,0.15,1,Plywood,443,15,5,7,3.3,3.795
288,Beam,15,0.23,0.6,5.0,18,Steel,989,13,16,19,8.3,168.822
289,Column,14,0.35,0.55,3.3,28,Steel,963,11,14,18,5.94,184.615
290,Beam,12,0.23,0.6,4.0,13,Steel,920,10,13,17,6.64,94.952
291,Column,21,0.23,0.45,3.2,30,Steel,1002,9,20,22,4.352,142.31
292,Beam,7,0.25,0.5,4.0,16,Steel,974,13,8,11,6.0,108.48
293,Wall,24,4.0,0.2,3.0,12,Plywood,515,12,24,28,25.2,338.688
294,Slab,9,6.0,5.0,0.15,1,Plywood,470,14,9,12,3.3,3.762
295,Slab,14,7.5,4.0,0.15,1,Plywood,469,13,15,17,3.45,3.898
296,Beam,14,0.3,0.6,5.5,14,Steel,869,12,14,17,9.9,155.232
297,Wall,22,4.5,0.2,3.0,24,Plywood,471,12,22,25,28.2,758.016
298,Column,11,0.35,0.55,2.8,26,Steel,1002,11,11,13,5.04,145.454
299,Column,8,0.4,0.4,3.3,39,Steel,959,10,7,10,5.28,226.512
300,Column,1,0.35,0.55,3.2,12,Steel,949,8,1,3,5.76,74.65
301,Beam,10,0.25,0.5,6.0,7,Steel,927,12,11,13,9.0,70.56
302,Beam,21,0.25,0.5,5.5,5,Steel,856,11,20,22,8.25,45.788
303,Slab,1,8.0,4.0,0.15,1,Plywood,518,16,1,3,3.6,4.176
304,Column,23,0.4,0.4,3.0,9,Steel,882,8,24,28,4.8,46.656
305,Column,14,0.3,0.6,3.3,29,Steel,944,9,13,15,5.94,187.763
306,Beam,4,0.23,0.45,6.0,18,Steel,981,11,3,7,8.16,163.037
307,Wall,8,4.0,0.2,3.0,22,Plywood,533,9,9,11,25.2,604.296
308,Column,14,0.23,0.45,2.8,29,Steel,907,8,13,16,3.808,119.267
309,Column,8,0.3,0.45,3.0,35,Steel,963,11,7,9,4.5,174.825
310,Column,3,0.35,0.55,3.3,28,Steel,1001,9,3,6,5.94,181.289
311,Beam,17,0.23,0.6,5.0,6,Steel,903,10,18,21,8.3,54.78
312,Column,17,0.35,0.55,3.0,13,Steel,880,11,18,22,5.4,77.922
313,Column,3,0.23,0.45,3.2,28,Steel,931,10,2,6,4.352,134.042
314,Beam,8,0.3,0.6,4.5,27,Steel,866,13,7,9,8.1,247.131
315,Column,7,0.4,0.4,3.3,32,Steel,958,11,7,11,5.28,187.546
316,Beam,17,0.23,0.6,6.0,12,Steel,938,12,18,20,9.96,133.862
317,Column,19,0.4,0.4,3.0,26,Steel,965,9,18,21,4.8,136.032
318,Wall,19,3.0,0.2,3.0,19,Plywood,619,12,19,22,19.2,408.576
319,Beam,24,0.25,0.5,4.5,25,Steel,874,12,23,26,6.75,189.0
320,Column,20,0.4,0.4,3.2,11,Steel,968,11,19,22,5.12,62.515
321,Column,9,0.23,0.45,2.8,22,Steel,901,8,9,13,3.808,90.478
322,Beam,3,0.23,0.6,5.0,6,Steel,876,10,2,6,8.3,54.78
323,Wall,16,5.0,0.2,3.0,21,Plywood,503,11,17,19,31.2,727.272
324,Column,23,0.35,0.55,3.0,6,Steel,928,8,22,26,5.4,34.992
325,Column,25,0.23,0.45,2.8,18,Steel,985,11,26,28,3.808,76.084
326,Column,6,0.35,0.55,3.2,27,Steel,958,10,6,10,5.76,171.072
327,Beam,6,0.3,0.6,4.5,28,Steel,926,11,6,9,8.1,251.748
328,Wall,1,6.0,0.2,3.0,11,Plywood,517,9,1,5,37.2,446.028
329,Beam,4,0.23,0.45,6.0,13,Steel,872,10,4,6,8.16,116.688
