element_id,element_type,floor,length_m,width_m,height_m,quantity_elements,material_type,unit_cost_per_sqm,wastage_percent,planned_start_week,planned_end_week,formwork_area_per_element_sqm,total_formwork_area_sqm,boq_area_sqm,actual_area_sqm,boq_adjustment_factor,actual_cost,duration_weeks,weekly_area_demand_sqm
54,Column,12,0.35,0.55,3.0,38,Steel,924,9,12,14,5.4,223.668,245.91295841766802,223.668,0.9095413329952042,213391.9794796588,3,74.556
55,Slab,13,10.0,4.0,0.15,1,Plywood,504,13,14,18,4.2,4.746,5.2754144660881765,4.746,0.8996449531138456,2673.985015796111,5,0.9492
56,Column,2,0.35,0.55,2.8,34,Steel,1006,10,1,3,5.04,188.496,213.79568982945506,188.496,0.8816641726985394,186707.3049804563,3,62.832
57,Beam,14,0.3,0.6,5.5,24,Steel,929,13,13,15,9.9,268.488,278.60321362282133,268.488,0.9636931193603693,237643.84098091332,3,89.496
58,Beam,4,0.23,0.6,4.5,20,Steel,905,13,4,6,7.47,168.822,180.74460785494782,168.822,0.9340361629791135,157003.26227047236,3,56.274
59,Beam,19,0.23,0.45,6.0,11,Steel,885,10,20,22,8.16,98.736,93.00329892213972,98.736,1.0616397605708543,95875.94849631334,3,32.912
60,Column,18,0.3,0.45,3.0,23,Steel,925,8,18,22,4.5,111.78,104.44265148595534,111.78,1.070252415173808,118321.32431683475,5,22.356
61,Column,24,0.23,0.45,2.8,28,Steel,899,9,23,26,3.808,116.22,127.9025376657866,116.22,0.9086606264504818,117722.8370437007,4,29.055
62,Column,19,0.4,0.4,3.0,19,Steel,936,10,18,22,4.8,100.32,104.4661114200837,100.32,0.9603114219173796,98295.4187410167,5,20.064
63,Column,10,0.3,0.45,3.0,34,Steel,976,11,9,12,4.5,169.83,181.6452143891101,169.83,0.9349544416634055,184411.93219686265,4,42.4575
64,Column,25,0.35,0.55,3.3,15,Steel,968,8,26,28,5.94,96.228,108.6894930154288,96.228,0.8853477675743703,89801.50700041896,3,32.076
65,Wall,11,4.5,0.2,3.0,7,Plywood,559,9,10,12,28.2,215.166,234.62034061237415,215.166,0.9170816112465054,128030.23540694219,3,71.722
66,Beam,9,0.23,0.45,6.0,21,Steel,926,13,8,10,8.16,193.637,206.4313363215637,193.637,0.9380213462280087,203489.26335752348,3,64.54566666666666
67,Beam,23,0.23,0.6,6.0,19,Steel,887,11,23,25,9.96,210.056,224.2898458072616,210.056,0.9365381622336433,191774.55853322925,3,70.01866666666668
68,Beam,10,0.25,0.5,6.0,22,Steel,898,10,11,14,9.0,217.8,215.88009940741108,217.8,1.0088933653350125,223361.32111845654,4,54.45
69,Column,2,0.3,0.45,2.8,15,Steel,929,9,2,4,4.2,68.67,62.43787820993412,68.67,1.0998131577936023,63420.40449106562,3,22.89
70,Beam,12,0.25,0.5,4.5,18,Steel,910,12,13,16,6.75,136.08,140.30055069802196,136.08,0.9699177895095642,120257.34608183737,4,34.02
71,Column,20,0.35,0.55,3.3,9,Steel,945,8,20,22,5.94,57.737,55.68014257637435,57.737,1.0369405918960128,57559.752116687996,3,19.24566666666667
72,Column,5,0.3,0.6,3.2,15,Steel,1006,8,6,10,5.76,93.312,95.41698744096998,93.312,0.9779390704168665,106211.27084780438,5,18.662399999999998
73,Beam,12,0.25,0.5,5.5,21,Steel,966,13,11,14,8.25,195.772,226.3165279379566,195.772,0.8650362471700245,191433.52510697694,4,48.943
74,Beam,4,0.25,0.5,5.5,12,Steel,873,12,4,8,8.25,110.88,107.57376305782469,110.88,1.0307346033846383,107449.15012713127,5,22.176
75,Wall,18,4.5,0.2,3.0,9,Plywood,525,10,18,20,28.2,279.18,256.14508782742604,279.18,1.0899291583842257,144200.85673228797,3,93.06
76,Column,12,0.4,0.4,2.8,14,Steel,1030,8,13,16,4.48,67.738,66.6823146233358,67.738,1.0158315646753924,76685.3431817682,4,16.9345
77,Beam,9,0.3,0.6,4.5,11,Steel,885,13,8,11,8.1,100.683,99.48267009396692,100.683,1.0120657186311879,94575.9486565288,4,25.17075
78,Column,6,0.3,0.6,3.0,32,Steel,950,10,5,7,5.4,190.08,208.81712733578647,190.08,0.9102701604277106,177867.9730697628,3,63.36000000000001
79,Column,15,0.3,0.6,3.2,12,Steel,958,10,14,18,5.76,76.032,81.13448058204361,76.032,0.9371108245786579,79657.62522795443,5,15.206399999999999
80,Slab,17,6.0,5.0,0.15,1,Plywood,475,14,18,22,3.3,3.762,4.270507518797498,3.762,0.8809257408963221,1952.6917973881925,5,0.7524
81,Column,24,0.3,0.6,3.0,16,Steel,985,10,25,29,5.4,95.04,104.4769076618145,95.04,0.9096747035013594,98584.11194302514,5,19.008000000000003
82,Beam,11,0.3,0.6,6.0,8,Steel,904,11,10,13,10.8,95.904,98.00583766786454,95.904,0.9785539543574177,86271.83849634333,4,23.976
83,Beam,5,0.3,0.6,5.5,27,Steel,911,11,5,9,9.9,296.703,339.4893870574699,296.703,0.8739684105346512,263933.32478630176,5,59.340599999999995
84,Column,21,0.3,0.6,3.3,7,Steel,977,10,21,24,5.94,45.738,43.455302223221565,45.738,1.0525297871604402,51006.90949682107,4,11.4345
85,Wall,16,5.0,0.2,3.0,8,Plywood,504,11,17,19,31.2,277.056,251.23815484025243,277.056,1.102762437401929,150969.45009887277,3,92.35199999999999
86,Beam,18,0.23,0.45,4.5,21,Steel,943,12,18,22,6.12,143.942,133.43630075273023,143.942,1.0787319431669333,150919.2924767389,5,28.788400000000003
87,Slab,3,6.0,4.0,0.15,1,Plywood,445,12,4,7,3.0,3.36,3.752138225401221,3.36,0.8954893978194821,1628.8620670071841,4,0.84
88,Beam,8,0.23,0.6,6.0,6,Steel,880,13,9,12,9.96,67.529,70.13313224449378,67.529,0.9628687303539301,66312.62477607152,4,16.88225
89,Wall,20,6.0,0.2,3.0,9,Plywood,551,11,20,22,37.2,371.628,352.4451326096098,371.628,1.0544279537877412,201183.22904745414,3,123.87599999999999
90,Column,21,0.23,0.45,2.8,31,Steel,937,11,22,24,3.808,131.033,137.6257200048357,131.033,0.9520967446738584,128841.92803207385,3,43.67766666666666
91,Beam,11,0.25,0.5,6.0,11,Steel,943,10,10,13,9.0,108.9,102.98603639563922,108.9,1.0574249074082358,111259.83378395217,4,27.225
92,Slab,21,6.0,4.0,0.15,1,Plywood,420,12,20,24,3.0,3.36,3.725890938078358,3.36,0.9017977326338308,1369.8207653464265,5,0.6719999999999999
93,Column,22,0.23,0.45,3.0,12,Steel,958,9,23,26,4.08,53.366,55.172272740685116,53.366,0.9672612228759404,50101.69525008594,4,13.3415
94,Beam,10,0.23,0.6,4.5,28,Steel,1012,12,9,11,7.47,234.259,237.61039542124075,234.259,0.985895417516143,255276.2670178384,3,78.08633333333333
95,Wall,23,4.0,0.2,3.0,13,Plywood,517,9,23,26,25.2,357.084,353.6751428523841,357.084,1.0096383848752375,207456.58414819808,4,89.271
96,Beam,8,0.23,0.6,4.5,13,Steel,923,10,9,11,7.47,106.821,116.33712506386583,106.821,0.918202164110195,106688.84390372297,3,35.607
97,Slab,6,6.0,4.0,0.15,1,Plywood,445,12,6,9,3.0,3.36,3.3887071114378173,3.36,0.9915285946841133,1431.2666874159047,4,0.84
98,Beam,18,0.23,0.6,5.5,6,Steel,864,10,19,22,9.13,60.258,55.816682651444886,60.258,1.0795697117345642,59564.47911287536,4,15.0645
99,Slab,16,10.0,4.0,0.15,1,Plywood,472,15,17,21,4.2,4.83,4.517990552172627,4.83,1.0690593404798805,2229.380450482004,5,0.966
100,Wall,4,4.0,0.2,3.0,7,Plywood,509,11,3,5,25.2,195.804,232.72662309283595,195.804,0.8413476610361535,99316.6516658925,3,65.268
101,Beam,21,0.25,0.5,5.0,29,Steel,881,13,21,24,7.5,245.775,288.1894257775986,245.775,0.8528244897842621,247922.8854997255,4,61.44375
102,Column,5,0.23,0.45,3.2,38,Steel,922,9,6,10,4.352,180.26,200.0727623822177,180.26,0.9009722155764135,183518.82763091035,5,36.052
103,Column,21,0.3,0.45,3.2,11,Steel,962,8,22,26,4.8,57.024,55.86989060468029,57.024,1.0206570906588284,62389.807474854315,5,11.4048
104,Beam,1,0.23,0.45,6.0,24,Steel,921,13,1,5,8.16,221.299,263.51242893920215,221.299,0.8398047898190727,226506.02105364497,5,44.2598
105,Slab,20,6.0,5.0,0.15,1,Plywood,515,14,20,24,3.3,3.762,4.264698270215796,3.762,0.8821257124503772,2093.0964847810897,5,0.7524
106,Beam,20,0.3,0.6,4.0,17,Steel,924,12,19,23,7.2,137.088,152.86231267542848,137.088,0.8968070520500238,127544.67291870272,5,27.4176
107,Column,20,0.23,0.45,3.2,9,Steel,1004,10,20,23,4.352,43.085,44.58472209595954,43.085,0.9663624213529537,43922.47733265731,4,10.77125
108,Column,17,0.23,0.45,2.8,39,Steel,968,10,16,18,3.808,163.363,160.3689594803132,163.363,1.0186697009782266,180188.0297775927,3,54.45433333333333
109,Beam,12,0.25,0.5,5.5,11,Steel,975,12,13,15,8.25,101.64,94.41515321798451,101.64,1.076522110442747,111201.47758708164,3,33.88
110,Slab,18,6.0,5.0,0.15,1,Plywood,470,12,19,23,3.3,3.696,4.327205537287812,3.696,0.8541309092326046,1775.159609559627,5,0.7392000000000001
111,Column,7,0.35,0.55,3.2,27,Steel,942,9,6,8,5.76,169.517,175.74384879711727,169.517,0.96456861028288,163621.80586170117,3,56.50566666666666
112,Beam,20,0.3,0.6,5.5,26,Steel,805,11,19,21,9.9,285.714,274.48801392273134,285.714,1.0408979099554736,232193.7097587487,3,95.238
113,Slab,14,6.0,5.0,0.15,1,Plywood,444,15,14,18,3.3,3.795,3.763831616595518,3.795,1.0082810249180794,1710.6355535440557,5,0.759
114,Wall,12,4.5,0.2,3.0,13,Plywood,542,11,13,16,28.2,406.926,436.943250693375,406.926,0.9313017179101832,247490.90928155408,4,101.7315
115,Column,13,0.4,0.4,3.0,17,Steel,917,8,14,17,4.8,88.128,83.98878954446059,88.128,1.0492828921334587,76942.52611043467,4,22.032
116,Wall,15,4.0,0.2,3.0,16,Plywood,506,10,14,16,25.2,443.52,513.1456701841951,443.52,0.8643159745278514,232771.94752166703,3,147.84
117,Beam,1,0.23,0.45,6.0,28,Steel,870,13,1,4,8.16,258.182,291.11462677557427,258.182,0.8868740223040643,255743.2396954145,4,64.5455
118,Slab,4,7.5,4.0,0.15,1,Plywood,459,13,4,8,3.45,3.898,4.349539980689026,3.898,0.8961867271725835,1893.8979398477375,5,0.7796000000000001
119,Column,7,0.3,0.6,3.3,15,Steel,987,9,7,10,5.94,97.119,99.9964331789755,97.119,0.9712246418447205,99699.25749239537,4,24.27975
120,Beam,3,0.3,0.6,5.0,5,Steel,887,10,2,4,9.0,49.5,53.865536284431286,49.5,0.918954927666931,44454.18796600849,3,16.5
121,Beam,11,0.23,0.45,6.0,5,Steel,979,12,12,14,8.16,45.696,49.133682236230904,45.696,0.9300341012565922,43160.88155839039,3,15.232
122,Column,17,0.3,0.45,2.8,36,Steel,904,8,18,21,4.2,163.296,178.80160519424876,163.296,0.913280391541208,146866.32490000932,4,40.824
123,Beam,17,0.23,0.45,4.0,29,Steel,892,12,18,22,5.44,176.691,163.49806546395845,176.691,1.0806916858533093,152579.35394477178,5,35.3382
124,Beam,12,0.23,0.45,6.0,17,Steel,844,10,11,15,8.16,152.592,156.3674649336053,152.592,0.9758551759139384,125611.72991119827,5,30.518400000000003
125,Beam,22,0.23,0.6,4.0,15,Steel,856,12,23,25,6.64,111.552,101.78944329679256,111.552,1.0959093240616542,93836.87669719997,3,37.184000000000005
126,Column,15,0.3,0.45,2.8,11,Steel,923,11,15,18,4.2,51.282,53.753651157749225,51.282,0.954018915840791,47825.83079785255,4,12.8205
127,Beam,2,0.25,0.5,4.0,23,Steel,946,13,3,5,6.0,155.94,155.77756723535236,155.94,1.0010427224377065,140468.3124520529,3,51.98
128,Column,20,0.3,0.6,3.3,6,Steel,989,11,20,24,5.94,39.56,37.319213073462244,39.56,1.0600437882258344,44603.44350016282,5,7.912000000000001
129,Wall,15,5.0,0.2,3.0,19,Plywood,573,10,15,17,31.2,652.08,607.1001021577565,652.08,1.0740897550212491,364212.54672299104,3,217.36
130,Wall,16,5.0,0.2,3.0,13,Plywood,501,9,16,18,31.2,442.104,475.83360478141657,442.104,0.9291147063963443,227392.4420363794,3,147.368
131,Column,15,0.35,0.55,2.8,29,Steel,947,10,14,17,5.04,160.776,152.92657653284593,160.776,1.051328053273122,171424.59960496923,4,40.194
132,Column,14,0.35,0.55,3.2,25,Steel,930,10,14,16,5.76,158.4,186.5217080252654,158.4,0.8492309108521773,143086.1481649483,3,52.800000000000004
133,Column,3,0.3,0.45,2.8,35,Steel,907,11,4,8,4.2,163.17,175.29652384947403,163.17,0.930822793383587,154909.65112463178,5,32.634
134,Beam,14,0.25,0.5,5.5,13,Steel,947,11,13,16,8.25,119.048,119.53144694707899,119.048,0.9959554831851652,126149.45288818846,4,29.762
135,Wall,20,4.0,0.2,3.0,24,Plywood,540,12,19,22,25.2,677.376,729.7199915873148,677.376,0.9282683876133718,388239.3843571169,4,169.344
136,Beam,8,0.23,0.45,4.5,18,Steel,927,13,7,11,6.12,124.481,112.88449460089433,124.481,1.1027289482059106,114478.66566627752,5,24.8962
137,Column,16,0.23,0.45,3.0,14,Steel,967,11,16,19,4.08,63.403,75.29535893914421,63.403,0.8420572116701649,67264.08694261737,4,15.85075
138,Column,1,0.4,0.4,2.8,29,Steel,914,10,1,3,4.48,142.912,149.29888463411513,142.912,0.9572208148120639,141890.0571949081,3,47.63733333333334
139,Column,9,0.3,0.45,2.8,25,Steel,874,10,9,11,4.2,115.5,131.0717756242224,115.5,0.8811965768369076,103211.96614163848,3,38.5
140,Slab,11,6.0,5.0,0.15,1,Plywood,478,14,10,14,3.3,3.762,3.479169077912464,3.762,1.0812926637808695,1724.9741252362892,5,0.7524
141,Beam,25,0.23,0.45,6.0,26,Steel,968,12,24,28,8.16,237.619,248.54887977462982,237.619,0.9560252301899714,218876.2320312941,5,47.5238
142,Beam,6,0.23,0.6,6.0,7,Steel,906,13,5,7,9.96,78.784,82.50355795296797,78.784,0.9549163933622313,79592.41762625755,3,26.261333333333337
143,Column,7,0.35,0.55,3.3,39,Steel,973,9,7,9,5.94,252.509,298.30098609578334,252.509,0.8464906646970328,249207.46062181017,3,84.16966666666666
144,Wall,11,3.0,0.2,3.0,11,Plywood,504,11,10,14,19.2,234.432,251.1982052323884,234.432,0.9332550755413334,115501.6470252939,5,46.886399999999995
145,Column,25,0.4,0.4,3.0,24,Steel,957,10,25,29,4.8,126.72,132.04817307058116,126.72,0.9596497782083423,127784.537298012,5,25.344
146,Slab,22,7.5,4.0,0.15,1,Plywood,452,12,22,24,3.45,3.864,3.787078188656123,3.864,1.0203116512287203,1980.8538268632299,3,1.288
147,Wall,1,4.0,0.2,3.0,10,Plywood,567,9,1,3,25.2,274.68,274.53461165701566,274.68,1.0005295811049355,148220.5500065192,3,91.56
148,Beam,6,0.3,0.6,5.5,6,Steel,1024,13,5,8,9.9,67.122,70.89437189960837,67.122,0.9467888381189083,66068.0635877954,4,16.7805
149,Wall,21,4.5,0.2,3.0,8,Plywood,530,12,22,25,28.2,252.672,260.674990949459,252.672,0.9692989691097345,138390.16318385035,4,63.168
150,Column,2,0.3,0.6,3.3,34,Steel,895,8,2,5,5.94,218.117,197.7194886081774,218.117,1.1031638890804767,211845.67761738127,4,54.52925
151,Slab,22,6.0,4.0,0.15,1,Plywood,487,14,22,25,3.0,3.42,3.9257755142234108,3.42,0.8711654519238443,1740.8558716189746,4,0.855
152,Column,8,0.3,0.45,3.2,24,Steel,957,9,9,12,4.8,125.568,146.76993473951273,125.568,0.8555430662475804,135731.57074828225,4,31.392
153,Beam,23,0.3,0.6,5.5,14,Steel,907,11,22,26,9.9,153.846,144.93442840382409,153.846,1.0614869199424861,133791.7028811631,5,30.7692
154,Column,8,0.4,0.4,2.8,7,Steel,957,8,9,11,4.48,33.869,36.111495043657214,33.869,0.9379007974899367,32996.9735852127,3,11.289666666666667
155,Column,11,0.4,0.4,3.3,28,Steel,986,10,10,12,5.28,162.624,151.6587063979231,162.624,1.072302433948672,163597.4353551312,3,54.208
156,Column,17,0.35,0.55,3.2,13,Steel,953,9,17,20,5.76,81.619,89.91736924614491,81.619,0.9077111650872649,79184.97852741272,4,20.40475
157,Column,4,0.3,0.45,2.8,23,Steel,918,11,3,6,4.2,107.226,105.55007211177644,107.226,1.015878036411465,103112.7177250097,4,26.8065
158,Beam,14,0.3,0.6,6.0,12,Steel,956,10,13,15,10.8,142.56,156.50618724050324,142.56,0.9108905054400686,151022.12367323483,3,47.52
159,Beam,13,0.3,0.6,5.0,11,Steel,893,13,13,17,9.0,111.87,125.08166625008207,111.87,0.894375677538007,101256.20345384118,5,22.374000000000002
160,Column,20,0.3,0.45,3.0,23,Steel,903,9,20,22,4.5,112.815,127.54799004020713,112.815,0.8844906138029864,111946.73820589186,3,37.605
161,Wall,25,6.0,0.2,3.0,11,Plywood,578,10,24,26,37.2,450.12,419.6569063781005,450.12,1.0725904736915088,254782.0575849549,3,150.04
162,Wall,17,4.5,0.2,3.0,17,Plywood,524,11,16,18,28.2,532.134,625.1529141601368,532.134,0.8512061416443955,296166.6088823657,3,177.37800000000001
163,Column,11,0.3,0.45,3.3,38,Steel,930,9,10,14,4.95,205.029,198.68626330175596,205.029,1.0319233780576516,195447.25114343766,5,41.0058
164,Beam,11,0.23,0.6,5.5,13,Steel,945,11,11,15,9.13,131.746,120.05008638779611,131.746,1.0974252827642519,131701.3172418949,5,26.349200000000003
165,Beam,11,0.3,0.6,4.0,19,Steel,926,10,11,15,7.2,150.48,160.48025987820913,150.48,0.9376854207128124,135380.12258715017,5,30.095999999999997
166,Slab,21,6.0,4.0,0.15,1,Plywood,461,13,22,24,3.0,3.39,3.4282279626881,3.39,0.9888490604755102,1782.662940457896,3,1.1300000000000001
167,Beam,9,0.23,0.45,5.0,27,Steel,947,10,9,11,6.8,201.96,232.03930095690666,201.96,0.8703698001465154,216357.11317374697,3,67.32000000000001
168,Slab,5,6.0,4.0,0.15,1,Plywood,454,15,5,8,3.0,3.45,3.941540273586553,3.45,0.8752923376476673,1746.8619062820824,4,0.8625
169,Column,9,0.3,0.45,3.2,19,Steel,931,10,10,13,4.8,100.32,99.83261211839243,100.32,1.004882050777451,105404.83574323427,4,25.08
170,Column,1,0.35,0.55,2.8,23,Steel,934,8,2,4,5.04,125.194,148.46378605990847,125.194,0.8432628812893227,114515.11381980278,3,41.73133333333333
171,Slab,3,7.5,4.0,0.15,1,Plywood,492,14,3,6,3.45,3.933,3.8829539572215257,3.933,1.012888652126662,2033.2281529553763,4,0.98325
172,Beam,3,0.23,0.45,5.5,12,Steel,974,11,2,5,7.48,99.634,105.06576060416178,99.634,0.9483013250660595,98361.54470686703,4,24.9085
173,Slab,20,7.5,4.0,0.15,1,Plywood,427,16,20,24,3.45,4.002,3.909111687735464,4.002,1.023762000087121,1926.693903068275,5,0.8004
174,Column,19,0.23,0.45,2.8,9,Steel,975,9,18,21,3.808,37.356,44.11045308082472,37.356,0.846874094254975,35980.93864315276,4,9.339
